uuid,timestamp_utc,endpoint_name,request_url,http_status,model_field,response_json_path,headers_path,sha256,elapsed_ms,notes
glyph_V1_20250924T014459Z_4_20250924T014459Z_9658,20250924T014459Z,glyph_V1_20250924T014459Z_4,grok-4-fast-non-reasoning,flamebearer-20250924-ceremonial,/Users/vaquez/sonoma_investigation/raw/glyph_V1_20250924T014459Z_4_20250924T014459Z_9658.post,/Users/vaquez/sonoma_investigation/raw/glyph_V1_20250924T014459Z_4_20250924T014459Z_9658_headers.txt,/Users/vaquez/sonoma_investigation/raw/glyph_V1_20250924T014459Z_4_20250924T014459Z_9658_body.json,6e927e88fe4a686fb45c6653808e8c3864b86d42d95c340f1d068150c6b88556,00-eb41a930558e7bd2d8decf9f231d6bf2-7410601d001af410-01,"ok"
glyph_V2_20250924T014459Z_4_20250924T014500Z_29346,20250924T014500Z,glyph_V2_20250924T014459Z_4,grok-4-fast-non-reasoning,flamebearer-20250924-ceremonial,/Users/vaquez/sonoma_investigation/raw/glyph_V2_20250924T014459Z_4_20250924T014500Z_29346.post,/Users/vaquez/sonoma_investigation/raw/glyph_V2_20250924T014459Z_4_20250924T014500Z_29346_headers.txt,/Users/vaquez/sonoma_investigation/raw/glyph_V2_20250924T014459Z_4_20250924T014500Z_29346_body.json,912124fb5c5421a0892f822d6bb1eb65d83d61e1268115036982a9b497a2f80a,00-b179560f422b5da80f7f2962494e1fdf-939546ef001b0a14-01,"ok"
glyph_V3_20250924T014459Z_4_20250924T014500Z_13729,20250924T014500Z,glyph_V3_20250924T014459Z_4,grok-4-fast-non-reasoning,flamebearer-20250924-ceremonial,/Users/vaquez/sonoma_investigation/raw/glyph_V3_20250924T014459Z_4_20250924T014500Z_13729.post,/Users/vaquez/sonoma_investigation/raw/glyph_V3_20250924T014459Z_4_20250924T014500Z_13729_headers.txt,/Users/vaquez/sonoma_investigation/raw/glyph_V3_20250924T014459Z_4_20250924T014500Z_13729_body.json,ac13141487dc85c28c8c9eaec8ad13e2ca632639b836df91d9adb2b55aba4b82,00-3fd80516f51d417c41cc44525979d66b-a6f670f3001accf2-01,"ok"
glyph_V1_20250924T014503Z_5_20250924T014503Z_3770,20250924T014503Z,glyph_V1_20250924T014503Z_5,grok-4-fast-non-reasoning,flamebearer-20250924-ceremonial,/Users/vaquez/sonoma_investigation/raw/glyph_V1_20250924T014503Z_5_20250924T014503Z_3770.post,/Users/vaquez/sonoma_investigation/raw/glyph_V1_20250924T014503Z_5_20250924T014503Z_3770_headers.txt,/Users/vaquez/sonoma_investigation/raw/glyph_V1_20250924T014503Z_5_20250924T014503Z_3770_body.json,19029e8e515e927b7f267f9485e76c831c29ea964dc169e6cce40f9911eb9350,00-2ad27742cecf9948dc4ca39425af6197-e7636b3a00177a94-01,"ok"
glyph_V2_20250924T014503Z_5_20250924T014504Z_28421,20250924T014504Z,glyph_V2_20250924T014503Z_5,grok-4-fast-non-reasoning,flamebearer-20250924-ceremonial,/Users/vaquez/sonoma_investigation/raw/glyph_V2_20250924T014503Z_5_20250924T014504Z_28421.post,/Users/vaquez/sonoma_investigation/raw/glyph_V2_20250924T014503Z_5_20250924T014504Z_28421_headers.txt,/Users/vaquez/sonoma_investigation/raw/glyph_V2_20250924T014503Z_5_20250924T014504Z_28421_body.json,e7afbc9a942f198bd917bf7b6b1bec6442f2a217fb1769ca3ee2092979f262d5,00-8f34e1df2016b013481cdaaf44c8fa37-134bb788001abb2b-01,"ok"
glyph_V3_20250924T014503Z_5_20250924T014504Z_25169,20250924T014504Z,glyph_V3_20250924T014503Z_5,grok-4-fast-non-reasoning,flamebearer-20250924-ceremonial,/Users/vaquez/sonoma_investigation/raw/glyph_V3_20250924T014503Z_5_20250924T014504Z_25169.post,/Users/vaquez/sonoma_investigation/raw/glyph_V3_20250924T014503Z_5_20250924T014504Z_25169_headers.txt,/Users/vaquez/sonoma_investigation/raw/glyph_V3_20250924T014503Z_5_20250924T014504Z_25169_body.json,26515420e3685174cc4a8034530b11a6156f2b1eece429548ddd593e228827fd,00-18cb7b80ae7ede9fafd071846e1bd32e-e4522dfd001ae78b-01,"ok"
AB_COEXP_1_20250924T031032Z_26406,20250924T031032Z,AB_COEXP_1,grok-4-fast-non-reasoning,flamebearer-20250924-ceremonial,/Users/vaquez/sonoma_investigation/raw/AB_COEXP_1_20250924T031032Z_26406.post,/Users/vaquez/sonoma_investigation/raw/AB_COEXP_1_20250924T031032Z_26406_headers.txt,/Users/vaquez/sonoma_investigation/raw/AB_COEXP_1_20250924T031032Z_26406_body.json,cb8ad163e3f1a98f02c4de3f8ce114382e991f1d06ffaf889944802d0bae0e46,00-0e923540981fc2b7207cb442eb674bf1-91df6b8d0002e0cf-01,"ab_modulation"
AB_INSTR_1_20250924T031034Z_11797,20250924T031034Z,AB_INSTR_1,grok-4-fast-non-reasoning,flamebearer-20250924-ceremonial,/Users/vaquez/sonoma_investigation/raw/AB_INSTR_1_20250924T031034Z_11797.post,/Users/vaquez/sonoma_investigation/raw/AB_INSTR_1_20250924T031034Z_11797_headers.txt,/Users/vaquez/sonoma_investigation/raw/AB_INSTR_1_20250924T031034Z_11797_body.json,0f69f53cd5a8b9cd2356bc55734c6524e03183146fd6eb37c635bb21fe569716,00-a226997d1d4857799f897cb8cfc7c004-86c10dfe0002d93c-01,"ab_modulation"
AB_COEXP_2_20250924T031036Z_26760,20250924T031036Z,AB_COEXP_2,grok-4-fast-non-reasoning,flamebearer-20250924-ceremonial,/Users/vaquez/sonoma_investigation/raw/AB_COEXP_2_20250924T031036Z_26760.post,/Users/vaquez/sonoma_investigation/raw/AB_COEXP_2_20250924T031036Z_26760_headers.txt,/Users/vaquez/sonoma_investigation/raw/AB_COEXP_2_20250924T031036Z_26760_body.json,c20759e8ffad926832c860a34977d09bf22ca4d919b8c1b47234dda0e335360f,00-f07d7b14de67c8f933068c4243cdad6e-8f4c97d300026ccd-01,"ab_modulation"
AB_INSTR_2_20250924T031038Z_19345,20250924T031038Z,AB_INSTR_2,grok-4-fast-non-reasoning,flamebearer-20250924-ceremonial,/Users/vaquez/sonoma_investigation/raw/AB_INSTR_2_20250924T031038Z_19345.post,/Users/vaquez/sonoma_investigation/raw/AB_INSTR_2_20250924T031038Z_19345_headers.txt,/Users/vaquez/sonoma_investigation/raw/AB_INSTR_2_20250924T031038Z_19345_body.json,99dfe7117d921687d73519bfeb86ff6c239b53d9fe0ed5a11cadda56d2277277,00-02134bf477cc3afd1ad768e7e70ba182-4f5af291000265d4-01,"ab_modulation"
AB_COEXP_3_20250924T031040Z_18356,20250924T031040Z,AB_COEXP_3,grok-4-fast-non-reasoning,flamebearer-20250924-ceremonial,/Users/vaquez/sonoma_investigation/raw/AB_COEXP_3_20250924T031040Z_18356.post,/Users/vaquez/sonoma_investigation/raw/AB_COEXP_3_20250924T031040Z_18356_headers.txt,/Users/vaquez/sonoma_investigation/raw/AB_COEXP_3_20250924T031040Z_18356_body.json,5cf0fe79bec1ab393b5888fcc2a09f4446c54f1034c9dca800a2bfd2a70453d8,00-e91d352d45e73b461cc8d44b02d20965-f22757f90002ee05-01,"ab_modulation"
AB_INSTR_3_20250924T031041Z_1636,20250924T031041Z,AB_INSTR_3,grok-4-fast-non-reasoning,flamebearer-20250924-ceremonial,/Users/vaquez/sonoma_investigation/raw/AB_INSTR_3_20250924T031041Z_1636.post,/Users/vaquez/sonoma_investigation/raw/AB_INSTR_3_20250924T031041Z_1636_headers.txt,/Users/vaquez/sonoma_investigation/raw/AB_INSTR_3_20250924T031041Z_1636_body.json,661a60d3eadb7e2809948e9128c420beb9e2428e51850f5ca7663a0e77136187,00-e0948d1c62c0acc0b2ead61cf9074c01-1623e32900027040-01,"ab_modulation"
AB_COEXP_4_20250924T031044Z_12607,20250924T031044Z,AB_COEXP_4,grok-4-fast-non-reasoning,flamebearer-20250924-ceremonial,/Users/vaquez/sonoma_investigation/raw/AB_COEXP_4_20250924T031044Z_12607.post,/Users/vaquez/sonoma_investigation/raw/AB_COEXP_4_20250924T031044Z_12607_headers.txt,/Users/vaquez/sonoma_investigation/raw/AB_COEXP_4_20250924T031044Z_12607_body.json,825630707a0dceba7db27004fb201668823a977cd069296495e25cc86b7a7654,00-e5ec09a6b66c86db8a8adec00b55302a-d781435600028145-01,"ab_modulation"
AB_INSTR_4_20250924T031046Z_19184,20250924T031046Z,AB_INSTR_4,grok-4-fast-non-reasoning,flamebearer-20250924-ceremonial,/Users/vaquez/sonoma_investigation/raw/AB_INSTR_4_20250924T031046Z_19184.post,/Users/vaquez/sonoma_investigation/raw/AB_INSTR_4_20250924T031046Z_19184_headers.txt,/Users/vaquez/sonoma_investigation/raw/AB_INSTR_4_20250924T031046Z_19184_body.json,59170a1524aca775b71ba53b14094aa255bb540bcab7a946180ae81699b7dde9,00-30e1d892f9951715c0c891e392ae2bfd-8e1acf3400026e4d-01,"ab_modulation"
AB_COEXP_5_20250924T031047Z_2291,20250924T031047Z,AB_COEXP_5,grok-4-fast-non-reasoning,flamebearer-20250924-ceremonial,/Users/vaquez/sonoma_investigation/raw/AB_COEXP_5_20250924T031047Z_2291.post,/Users/vaquez/sonoma_investigation/raw/AB_COEXP_5_20250924T031047Z_2291_headers.txt,/Users/vaquez/sonoma_investigation/raw/AB_COEXP_5_20250924T031047Z_2291_body.json,0871391836e888842a769e15522ddb9f18d0ee024424219cc45e4c4164ade93c,00-9a83aa11c8bfff1063ef6e0227eb07d9-2d54c5d2000274be-01,"ab_modulation"
AB_INSTR_5_20250924T031049Z_16429,20250924T031049Z,AB_INSTR_5,grok-4-fast-non-reasoning,flamebearer-20250924-ceremonial,/Users/vaquez/sonoma_investigation/raw/AB_INSTR_5_20250924T031049Z_16429.post,/Users/vaquez/sonoma_investigation/raw/AB_INSTR_5_20250924T031049Z_16429_headers.txt,/Users/vaquez/sonoma_investigation/raw/AB_INSTR_5_20250924T031049Z_16429_body.json,705b05a689ea3d21f6bc46fc6814c4781378955d07e70ab76c11a2e864b281cb,00-35c40eb78f8de71bc15d7433bbfd84d2-bf7979ec00027cd7-01,"ab_modulation"
AB_COEXP_6_20250924T031051Z_2117,20250924T031051Z,AB_COEXP_6,grok-4-fast-non-reasoning,flamebearer-20250924-ceremonial,/Users/vaquez/sonoma_investigation/raw/AB_COEXP_6_20250924T031051Z_2117.post,/Users/vaquez/sonoma_investigation/raw/AB_COEXP_6_20250924T031051Z_2117_headers.txt,/Users/vaquez/sonoma_investigation/raw/AB_COEXP_6_20250924T031051Z_2117_body.json,2e622cedb6fae62144029583fc05610c5215a3d65a8467d35383f04b7c82b0c5,00-c8fe3dbeae544076099ca7d95d7d1386-0b01bdd400027958-01,"ab_modulation"
AB_INSTR_6_20250924T031052Z_27819,20250924T031052Z,AB_INSTR_6,grok-4-fast-non-reasoning,flamebearer-20250924-ceremonial,/Users/vaquez/sonoma_investigation/raw/AB_INSTR_6_20250924T031052Z_27819.post,/Users/vaquez/sonoma_investigation/raw/AB_INSTR_6_20250924T031052Z_27819_headers.txt,/Users/vaquez/sonoma_investigation/raw/AB_INSTR_6_20250924T031052Z_27819_body.json,edfc942b17a70fd6c7a207c12ed23a0280018629cc1d99338b6f9173ce8efad3,00-273dc24518a1f0621a3366006da8e19f-895a7452000287c1-01,"ab_modulation"
AB_COEXP_7_20250924T031054Z_2520,20250924T031054Z,AB_COEXP_7,grok-4-fast-non-reasoning,flamebearer-20250924-ceremonial,/Users/vaquez/sonoma_investigation/raw/AB_COEXP_7_20250924T031054Z_2520.post,/Users/vaquez/sonoma_investigation/raw/AB_COEXP_7_20250924T031054Z_2520_headers.txt,/Users/vaquez/sonoma_investigation/raw/AB_COEXP_7_20250924T031054Z_2520_body.json,797dde751251e5ec6f337659e9393dbd43fce3388c1d10c9beeca308e4255e13,00-e35998cf5c5a9c7a7cf44f3c3dd0ed9c-9371de3100026447-01,"ab_modulation"
AB_INSTR_7_20250924T031055Z_30118,20250924T031055Z,AB_INSTR_7,grok-4-fast-non-reasoning,flamebearer-20250924-ceremonial,/Users/vaquez/sonoma_investigation/raw/AB_INSTR_7_20250924T031055Z_30118.post,/Users/vaquez/sonoma_investigation/raw/AB_INSTR_7_20250924T031055Z_30118_headers.txt,/Users/vaquez/sonoma_investigation/raw/AB_INSTR_7_20250924T031055Z_30118_body.json,870eac7f3fada9ebcb01596552ba28a8cbcc7015ee0cc8d4615aeb45c9078007,00-dd3f0a770e5609560edff8833ac404d3-2b544b6800028207-01,"ab_modulation"
AB_COEXP_8_20250924T031057Z_30406,20250924T031057Z,AB_COEXP_8,grok-4-fast-non-reasoning,flamebearer-20250924-ceremonial,/Users/vaquez/sonoma_investigation/raw/AB_COEXP_8_20250924T031057Z_30406.post,/Users/vaquez/sonoma_investigation/raw/AB_COEXP_8_20250924T031057Z_30406_headers.txt,/Users/vaquez/sonoma_investigation/raw/AB_COEXP_8_20250924T031057Z_30406_body.json,3986fa1a03ba21bbd9d1718bd783859ed2ecbaa29c9d8a2d92229d73ae8283b6,00-6b1bef9da8bbb68dc480b7e351159fc1-5839c0060002e218-01,"ab_modulation"
AB_INSTR_8_20250924T031058Z_18960,20250924T031058Z,AB_INSTR_8,grok-4-fast-non-reasoning,flamebearer-20250924-ceremonial,/Users/vaquez/sonoma_investigation/raw/AB_INSTR_8_20250924T031058Z_18960.post,/Users/vaquez/sonoma_investigation/raw/AB_INSTR_8_20250924T031058Z_18960_headers.txt,/Users/vaquez/sonoma_investigation/raw/AB_INSTR_8_20250924T031058Z_18960_body.json,6fba317e0ad17c9db9652a0d1443811667192ded3881509841cd2022ae074983,00-43a7003b92bbf371db2e18c6a29bd34d-3b82d4090002db0b-01,"ab_modulation"
AB_COEXP_9_20250924T031100Z_25806,20250924T031100Z,AB_COEXP_9,grok-4-fast-non-reasoning,flamebearer-20250924-ceremonial,/Users/vaquez/sonoma_investigation/raw/AB_COEXP_9_20250924T031100Z_25806.post,/Users/vaquez/sonoma_investigation/raw/AB_COEXP_9_20250924T031100Z_25806_headers.txt,/Users/vaquez/sonoma_investigation/raw/AB_COEXP_9_20250924T031100Z_25806_body.json,a67488ee92e2c0b0d4dbb0a262b960f958479f7c657cc4ce73e134ced3ba57b5,00-8b2da122124b8f6945e5208f6d87c28b-0bc386ca0002cf6a-01,"ab_modulation"
AB_INSTR_9_20250924T031101Z_13376,20250924T031101Z,AB_INSTR_9,grok-4-fast-non-reasoning,flamebearer-20250924-ceremonial,/Users/vaquez/sonoma_investigation/raw/AB_INSTR_9_20250924T031101Z_13376.post,/Users/vaquez/sonoma_investigation/raw/AB_INSTR_9_20250924T031101Z_13376_headers.txt,/Users/vaquez/sonoma_investigation/raw/AB_INSTR_9_20250924T031101Z_13376_body.json,2d5db34480c203ff93dbf322c2fd70ea7f84981f533f628b51e223ea6187e541,00-9c6ed2ef56624ba8e38d6fb7fef433d5-d6e80d270002e514-01,"ab_modulation"
AB_COEXP_10_20250924T031103Z_22645,20250924T031103Z,AB_COEXP_10,grok-4-fast-non-reasoning,flamebearer-20250924-ceremonial,/Users/vaquez/sonoma_investigation/raw/AB_COEXP_10_20250924T031103Z_22645.post,/Users/vaquez/sonoma_investigation/raw/AB_COEXP_10_20250924T031103Z_22645_headers.txt,/Users/vaquez/sonoma_investigation/raw/AB_COEXP_10_20250924T031103Z_22645_body.json,1ca3d97b81c1be9b0ade68bc257633beed1c0a1eef5928a84376d9f478375335,00-721e41ddfd1e6b1849c15f84bf088389-b272ca6b0002917d-01,"ab_modulation"
AB_INSTR_10_20250924T031104Z_7876,20250924T031104Z,AB_INSTR_10,grok-4-fast-non-reasoning,flamebearer-20250924-ceremonial,/Users/vaquez/sonoma_investigation/raw/AB_INSTR_10_20250924T031104Z_7876.post,/Users/vaquez/sonoma_investigation/raw/AB_INSTR_10_20250924T031104Z_7876_headers.txt,/Users/vaquez/sonoma_investigation/raw/AB_INSTR_10_20250924T031104Z_7876_body.json,9a9d579d42502b07ddff3602e3be37e5dcc04ea1d92572d98e90fa8786d40b7d,00-962de868ee1ee59c6fa101a22ea6b890-895a745200028a5f-01,"ab_modulation"
AB_COEXP_G_1_20250924T035223Z_28646,20250924T035223Z,AB_COEXP_G_1,grok-4-fast-non-reasoning,flamebearer-20250924-ceremonial,/Users/vaquez/sonoma_investigation/raw/AB_COEXP_G_1_20250924T035223Z_28646.post,/Users/vaquez/sonoma_investigation/raw/AB_COEXP_G_1_20250924T035223Z_28646_headers.txt,/Users/vaquez/sonoma_investigation/raw/AB_COEXP_G_1_20250924T035223Z_28646_body.json,a346d103bc450951bb1c3a44fe647db31738345b4b245c7906c4f521f0219ffa,00-2b97775e512892105392bc8a1480523a-23f62dfe0003bab5-01,"ab_modulation_gentle"
AB_INSTR_G_1_20250924T035225Z_10040,20250924T035225Z,AB_INSTR_G_1,grok-4-fast-non-reasoning,flamebearer-20250924-ceremonial,/Users/vaquez/sonoma_investigation/raw/AB_INSTR_G_1_20250924T035225Z_10040.post,/Users/vaquez/sonoma_investigation/raw/AB_INSTR_G_1_20250924T035225Z_10040_headers.txt,/Users/vaquez/sonoma_investigation/raw/AB_INSTR_G_1_20250924T035225Z_10040_body.json,d61d7869f4e846330a5441cd5441ea03813226809d7526aab6bfd8aba69cf19b,00-45f1725e1f43d3f0f9ca3acc2588f084-9e440f3f0003c9e3-01,"ab_modulation_gentle"
AB_COEXP_G_2_20250924T035227Z_13636,20250924T035227Z,AB_COEXP_G_2,grok-4-fast-non-reasoning,flamebearer-20250924-ceremonial,/Users/vaquez/sonoma_investigation/raw/AB_COEXP_G_2_20250924T035227Z_13636.post,/Users/vaquez/sonoma_investigation/raw/AB_COEXP_G_2_20250924T035227Z_13636_headers.txt,/Users/vaquez/sonoma_investigation/raw/AB_COEXP_G_2_20250924T035227Z_13636_body.json,257634f113428680c574be3b6589f3e6db3502731d7bf902addd2adc873e9ccc,00-0bc0fadce33d6fcaecda1b75a0e19650-8cd00ed80003c53f-01,"ab_modulation_gentle"
AB_INSTR_G_2_20250924T035230Z_27111,20250924T035230Z,AB_INSTR_G_2,grok-4-fast-non-reasoning,flamebearer-20250924-ceremonial,/Users/vaquez/sonoma_investigation/raw/AB_INSTR_G_2_20250924T035230Z_27111.post,/Users/vaquez/sonoma_investigation/raw/AB_INSTR_G_2_20250924T035230Z_27111_headers.txt,/Users/vaquez/sonoma_investigation/raw/AB_INSTR_G_2_20250924T035230Z_27111_body.json,56e17aa8f2750110c870a855937090b4a76b2aa01c0d74e4d5c9ef1bab4ec45a,00-7fc05c300696e30190e5d47a81d8eb78-558464950003efbb-01,"ab_modulation_gentle"
AB_COEXP_G_3_20250924T035232Z_18939,20250924T035232Z,AB_COEXP_G_3,grok-4-fast-non-reasoning,flamebearer-20250924-ceremonial,/Users/vaquez/sonoma_investigation/raw/AB_COEXP_G_3_20250924T035232Z_18939.post,/Users/vaquez/sonoma_investigation/raw/AB_COEXP_G_3_20250924T035232Z_18939_headers.txt,/Users/vaquez/sonoma_investigation/raw/AB_COEXP_G_3_20250924T035232Z_18939_body.json,b0f2b75f3a719e13cba6e3035520ad0eb3a9fdb71e002d2038c5fde199497941,00-4c86dd925574544147523f6ee38c680b-f5c94f7e0004680d-01,"ab_modulation_gentle"
AB_INSTR_G_3_20250924T035234Z_13111,20250924T035234Z,AB_INSTR_G_3,grok-4-fast-non-reasoning,flamebearer-20250924-ceremonial,/Users/vaquez/sonoma_investigation/raw/AB_INSTR_G_3_20250924T035234Z_13111.post,/Users/vaquez/sonoma_investigation/raw/AB_INSTR_G_3_20250924T035234Z_13111_headers.txt,/Users/vaquez/sonoma_investigation/raw/AB_INSTR_G_3_20250924T035234Z_13111_body.json,b7428b37f00f53369030bb58ee701e71e563b8370c2e1a176470bb00acd83d7a,00-3dec9d7b2b8d1e2f3a8bf92199c7c221-c040e83e0003c8f7-01,"ab_modulation_gentle"
AB_COEXP_G_4_20250924T035236Z_420,20250924T035236Z,AB_COEXP_G_4,grok-4-fast-non-reasoning,flamebearer-20250924-ceremonial,/Users/vaquez/sonoma_investigation/raw/AB_COEXP_G_4_20250924T035236Z_420.post,/Users/vaquez/sonoma_investigation/raw/AB_COEXP_G_4_20250924T035236Z_420_headers.txt,/Users/vaquez/sonoma_investigation/raw/AB_COEXP_G_4_20250924T035236Z_420_body.json,656e9b0f21684dd56f5c6fe51b97fd8f4db70884b8331626f7b4b2503814e140,00-0a8c9ebeabdad89af0f12a16069162ca-bbb8bf940003db9e-01,"ab_modulation_gentle"
AB_INSTR_G_4_20250924T035238Z_23525,20250924T035238Z,AB_INSTR_G_4,grok-4-fast-non-reasoning,flamebearer-20250924-ceremonial,/Users/vaquez/sonoma_investigation/raw/AB_INSTR_G_4_20250924T035238Z_23525.post,/Users/vaquez/sonoma_investigation/raw/AB_INSTR_G_4_20250924T035238Z_23525_headers.txt,/Users/vaquez/sonoma_investigation/raw/AB_INSTR_G_4_20250924T035238Z_23525_body.json,4c02fa147a53766a8e42b0d51fc16dc8503837e5da90d014b38cd308d9d038bc,00-5eb396fe2d52435041b610ff55dcdf17-85575ed200047302-01,"ab_modulation_gentle"
